Wall time,Step,Value
1725860955.9555507,0,236.46942138671875
1725860976.417309,1,225.06443786621094
1725860995.4240215,2,211.65097045898438
1725861015.0831025,3,196.5879669189453
1725861034.4082909,4,191.4954833984375
1725861053.922949,5,196.4451904296875
1725861073.0003297,6,190.72584533691406
1725861091.638663,7,192.5027618408203
1725861110.7659204,8,189.23202514648438
1725861129.5623274,9,182.8227996826172
1725861148.6162295,10,183.57470703125
1725861168.2453763,11,181.05624389648438
1725861187.490549,12,180.63487243652344
1725861207.2982328,13,179.25103759765625
1725861225.9112034,14,181.1102294921875
1725861245.0457025,15,180.87020874023438
1725861264.5761828,16,182.13197326660156
1725861283.9276285,17,178.99647521972656
1725861303.1457171,18,177.22386169433594
1725861321.8149447,19,177.4349365234375
1725861340.8375058,20,177.25729370117188
1725861359.2263775,21,176.31298828125
1725861377.6865253,22,176.38771057128906
1725861395.8689613,23,175.90614318847656
1725861414.7558353,24,175.81126403808594
1725861433.2915137,25,175.0471649169922
1725861451.8422854,26,175.30015563964844
1725861470.6976676,27,175.0760955810547
1725861489.2580638,28,174.98342895507812
1725861507.9933813,29,175.05838012695312
1725861526.7094114,30,175.00592041015625
1725861545.7129707,31,174.8973388671875
1725861564.6008239,32,174.6202392578125
1725861586.064206,33,174.5790252685547
1725861606.382354,34,174.44969177246094
1725861625.082155,35,174.3712158203125
1725861643.7895005,36,174.30386352539062
1725861662.4999294,37,174.1768798828125
1725861681.1691046,38,174.1014404296875
1725861699.9907386,39,174.06629943847656
1725861720.1411614,40,174.02386474609375
1725861739.5985022,41,173.96632385253906
1725861758.6064978,42,173.9122314453125
1725861778.2764864,43,173.8544921875
1725861798.1280105,44,173.82693481445312
1725861817.3233325,45,173.79454040527344
1725861835.3173387,46,173.75729370117188
1725861854.778326,47,173.7323455810547
1725861873.7368662,48,173.706787109375
1725861892.9434292,49,173.6829376220703
