Wall time,Step,Value
1725846545.6228144,0,0.034495338797569275
1725846559.1092227,1,0.26928481459617615
1725846572.995655,2,0.7450606226921082
1725846586.8709724,3,1.2549711465835571
1725846600.7328873,4,0.9336549639701843
1725846614.231674,5,1.1037132740020752
1725846627.699911,6,1.5327683687210083
1725846641.3811398,7,1.425105094909668
1725846656.6291854,8,1.4014121294021606
1725846671.4566712,9,1.6761139631271362
1725846686.300575,10,1.4850705862045288
1725846701.2267637,11,1.6304975748062134
1725846715.6033893,12,1.3292486667633057
1725846731.303042,13,1.5113446712493896
1725846748.2385707,14,1.5590224266052246
1725846762.780882,15,1.570694923400879
1725846777.9313695,16,1.5624521970748901
1725846792.0792096,17,1.513088345527649
1725846805.9643862,18,1.5825352668762207
1725846821.0738275,19,1.492316484451294
1725846835.1795228,20,1.5668303966522217
1725846849.7343616,21,1.5540844202041626
1725846863.9640312,22,1.5069549083709717
1725846877.795573,23,1.5656232833862305
1725846892.082177,24,1.6685924530029297
1725846906.2621667,25,1.5553789138793945
1725846920.721835,26,1.5759963989257812
1725846935.1926017,27,1.529597520828247
1725846949.6374044,28,1.5135260820388794
1725846964.4448512,29,1.5948998928070068
1725846978.8969474,30,1.5835939645767212
1725846993.2643936,31,1.5875722169876099
1725847007.4229171,32,1.594659686088562
1725847021.534743,33,1.5954662561416626
1725847035.594828,34,1.601525068283081
1725847050.2986677,35,1.6017422676086426
1725847064.9535918,36,1.5656994581222534
1725847079.1957722,37,1.5894684791564941
1725847094.3305748,38,1.5985376834869385
1725847108.7341285,39,1.5771567821502686
1725847123.130067,40,1.6013383865356445
1725847137.421361,41,1.6026405096054077
1725847152.2448757,42,1.6089814901351929
1725847167.155913,43,1.5958991050720215
1725847181.8758476,44,1.601646065711975
1725847196.2965188,45,1.5980416536331177
1725847210.748896,46,1.6014633178710938
1725847225.7854667,47,1.5917518138885498
1725847242.4010642,48,1.5961321592330933
1725847257.395634,49,1.6016407012939453
